cifar100c_gaussian_noise,1,False,31.82,60.03,4.648231958770752
cifar100c_gaussian_noise,1,True,42.64,71.86,2.924089589691162
cifar100c_gaussian_noise,2,False,18.06,41.3,6.778267514801025
cifar100c_gaussian_noise,2,True,35.87,65.4,3.419195867538452
cifar100c_gaussian_noise,3,False,11.68,29.81,8.327514772033691
cifar100c_gaussian_noise,3,True,29.61,58.86,4.0033657806396485
cifar100c_gaussian_noise,4,False,9.74,25.13,9.013513879394532
cifar100c_gaussian_noise,4,True,26.87,55.57,4.286134945297241
cifar100c_gaussian_noise,5,False,8.56,22.6,9.461346232604981
cifar100c_gaussian_noise,5,True,25.83,53.16,4.433614869689942
cifar100c_speckle,1,False,43.79,72.8,3.3803214614868162
cifar100c_speckle,1,True,44.55,73.59,2.782783022689819
cifar100c_speckle,2,False,27.17,55.28,5.290738948059082
cifar100c_speckle,2,True,36.07,65.89,3.430918733215332
cifar100c_speckle,3,False,21.99,47.28,6.2168172836303714
cifar100c_speckle,3,True,33.48,62.64,3.712735855102539
cifar100c_speckle,4,False,14.49,35.18,7.792570882415771
cifar100c_speckle,4,True,27.29,55.99,4.228023754882813
cifar100c_speckle,5,False,10.39,27.12,8.941350096130371
cifar100c_speckle,5,True,22.82,50.21,4.759802680969238
cifar100c_shot,1,False,42.32,71.51,3.503806856918335
cifar100c_shot,1,True,45.68,74.56,2.666733977508545
cifar100c_shot,2,False,30.17,58.1,4.887840493774414
cifar100c_shot,2,True,40.35,69.81,3.1119022274017336
cifar100c_shot,3,False,15.85,38.16,7.341610863494873
cifar100c_shot,3,True,31.89,60.73,3.8522894294738768
cifar100c_shot,4,False,12.69,31.9,8.18075287322998
cifar100c_shot,4,True,29.39,57.62,4.06737725982666
cifar100c_shot,5,False,9.26,24.88,9.227296257019043
cifar100c_shot,5,True,25.21,52.11,4.477086072921753
cifar100c_impulse,1,False,49.36,78.38,2.6340863079071046
cifar100c_impulse,1,True,48.1,76.48,2.508684135055542
cifar100c_impulse,2,False,31.52,60.47,4.39429256439209
cifar100c_impulse,2,True,41.36,71.83,2.916692266845703
cifar100c_impulse,3,False,20.47,45.33,6.045508769226074
cifar100c_impulse,3,True,36.84,66.15,3.379778693771362
cifar100c_impulse,4,False,11.05,26.78,8.330965591430664
cifar100c_impulse,4,True,28.71,56.37,4.062658908081055
cifar100c_impulse,5,False,7.12,19.03,9.604671507263184
cifar100c_impulse,5,True,22.81,49.27,4.6883113502502445
cifar100c_contrast,1,False,64.36,88.85,1.6621695116043091
cifar100c_contrast,1,True,56.57,82.01,2.0065189056396484
cifar100c_contrast,2,False,54.45,82.45,2.2907028064727784
cifar100c_contrast,2,True,53.43,79.0,2.1990557092666627
cifar100c_contrast,3,False,45.68,75.18,2.9639893524169922
cifar100c_contrast,3,True,51.84,76.98,2.347974462890625
cifar100c_contrast,4,False,33.57,63.11,4.1912185592651365
cifar100c_contrast,4,True,49.05,74.69,2.574056651687622
cifar100c_contrast,5,False,12.45,31.79,7.69174375
cifar100c_contrast,5,True,42.02,68.28,3.194005644226074
cifar100c_elastic,1,False,55.7,82.98,2.231606736373901
cifar100c_elastic,1,True,50.51,78.17,2.4246603218078615
cifar100c_elastic,2,False,55.46,82.86,2.211932863235474
cifar100c_elastic,2,True,52.83,80.04,2.2380905765533448
cifar100c_elastic,3,False,49.68,78.74,2.6693629928588867
cifar100c_elastic,3,True,50.19,78.37,2.3636777992248534
cifar100c_elastic,4,False,44.35,73.76,3.1028855461120606
cifar100c_elastic,4,True,45.25,74.4,2.6750442100524903
cifar100c_elastic,5,False,38.89,69.11,3.630360039138794
cifar100c_elastic,5,True,39.33,68.7,3.176969620895386
cifar100c_pixelate,1,False,61.14,86.61,1.8795075904846192
cifar100c_pixelate,1,True,54.29,81.42,2.1263809207916258
cifar100c_pixelate,2,False,51.01,78.7,2.705152907180786
cifar100c_pixelate,2,True,51.96,79.03,2.2522081169128416
cifar100c_pixelate,3,False,45.14,72.69,3.3437022464752197
cifar100c_pixelate,3,True,50.17,78.05,2.3970379552841186
cifar100c_pixelate,4,False,29.04,54.13,5.653589896392822
